Tweet_count,Username,Text,Created_At,Retweets,Views,Likes
1,Kuroro Beasts,"Announcing our $2.5 million strategic round, with @SanctorCapital and @animocabrands as main investors, and featuring some of the top founders in the web3 gaming space. https://t.co/hYDNh50y3A",Wed May 29 22:05:07 +0000 2024,46114,426936,51871
2,O G,The Best Couples in Web3 https://t.co/0xaEGGszvr,Tue Oct 08 19:00:35 +0000 2024,14,46955,221
3,sn 🍓,"$2 ~ FAST 🔮

- RT &amp; Follow @delegate_web3 https://t.co/q1zaiLBaBK",Wed Oct 09 12:57:58 +0000 2024,158,812,33
4,CoinMarketCap,"Healthy competition fuels innovation, and we're excited to see major players stepping into Web3! 🚀

Keep an eye out for the highly anticipated launch of $GMRX on March 26th. 
#Web3 #GMRX #Gamefi https://t.co/XSmNtsnfUM",Wed Mar 20 13:00:41 +0000 2024,5897,464360,9134
5,Suhail Kakar,every single web3 website ever https://t.co/NUrlnHoctC,Tue Aug 13 10:17:13 +0000 2024,302,436848,5196
6,Nina 小耳朵,"虽然大熊气势汹汹
但遇见了Web3小饭局 和小伙伴们多吃两碗以后血条满了😋😋 https://t.co/8QUIz8aaIm",Sat Jun 10 11:22:16 +0000 2023,1,23998,71
7,Myth 🪁,"Good morning Web3 🪄

If you reply, I'm following you 🫧 https://t.co/vraAtMxzrC",Tue Oct 08 09:10:09 +0000 2024,15,4133,279
8,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"我原本以为吧，《黑神话悟空》火了以后，

那些做元宇宙、web3游戏、gamefi等骗钱垃圾项目的大傻逼们，终于可以消停消停了，收一收嘴脸了，找个地方躲一躲，

结果没想到，这群web3的臭傻逼们，还他妈直接自豪起来了😅 https://t.co/7xGfYeguxS",Tue Aug 20 06:51:37 +0000 2024,8,250934,262
9,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/qSOn2sBX2U",Sun Oct 06 08:38:42 +0000 2024,37,26669,822
10,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/wmiPNVKZc5",Tue Oct 08 08:37:07 +0000 2024,31,16599,703
11,DANY,"GOOD MORNING WEB3!!

REPLY THIS THEN I’LL FOLLOW YOU BACK! https://t.co/0RYeMJzjjS",Tue Oct 08 05:30:58 +0000 2024,15,6523,411
12,滝沢ガレソ,"ノーブラでサッカー観戦した女優が激怒「みな試合ではなく私の胸の話ばかりしていてウンザリ」@スペイン
https://t.co/5QAVmSjLEY
▼主な反応
・これは試合どころじゃない
・インスタフォロワー400万人すげえ
・ただただ、感謝
・日本でもノーブラ流行らんかな
・ラ・リーガじゃなくてチ・クービじゃん https://t.co/xPfLimKSMJ",Thu Sep 28 05:09:07 +0000 2023,2208,17947004,33871
13,Web3｜龙猫,"🔥听说大A火了，KTV嫩模都是玩A股的先选，消费水平直线上升，飞机升舱，按摩质量都有明显提升

你错过了这波A股的盛宴了吗 https://t.co/iuacWzMw8i",Mon Sep 30 05:20:37 +0000 2024,0,44631,33
14,WILSON,"Few years ago they used to call me “that batcher kid” cus we used to stay in a one room batcher house with a leaking roof 

Fast forward to today I am now the owner of a 5bedroom duplex with BQ!

Web3 did!
Airdrop did!
God did! https://t.co/QG41P2wbli",Mon Sep 02 07:23:13 +0000 2024,4580,1901905,29172
15,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"这种满嘴Web3 + AI的人，相当一批都是精神有问题的人，可能存在严重的妄想症。

我怀疑他们到底知不知道自己说的东西到底是什么。 https://t.co/9kNFLAGOjg",Wed Nov 15 07:58:18 +0000 2023,1,211353,54
16,Old two💜,"都在挖sui这个代币，记得一定要挖卖提，代币太多了，Mac一小时大概60RMB

链接：
https://t.co/qgMAwQN8Ne
推荐使用 #OKXWeb3 钱包
传送门：https://t.co/rGYRCvUIjC

参与步骤：
1️⃣右上角创建钱包
2️⃣复制私钥保存在OKX钱包
3️⃣充值2sui左右
4️⃣开始挖矿

如何卖
OK钱包导入私钥后在添加合约地址直接交易 https://t.co/qJEOey9eM2",Fri Oct 04 02:54:55 +0000 2024,151,607132,457
17,亚洲金融 Asia Finance,#巴厘岛，甚至东南亚，别再去混了。巴厘岛命案中的男性死者25岁，女性死者22岁，分别来自江西和广西。这两个都是币圈的。几个月前，刚有一群在巴厘岛住了四五年俄罗斯乌克兰Web3创业者们，离开巴厘岛去了欧洲。房子都不处理人先跑。创业者们在那里频遭抢劫，逼问银行和加密账号密码，然后折磨和杀害… https://t.co/ScenQNzrPd,Fri May 05 15:01:36 +0000 2023,88,657260,531
18,David Of Fct🌝,Just got my 2nd car and i’m not even 30 yet. Thank you Web3 🙏 https://t.co/hZ161p2D2I,Tue Oct 08 13:29:47 +0000 2024,94,40149,1074
Tweet_count,Username,Text,Created_At,Retweets,Views,Likes
1,Kuroro Beasts,"Announcing our $2.5 million strategic round, with @SanctorCapital and @animocabrands as main investors, and featuring some of the top founders in the web3 gaming space. https://t.co/hYDNh50y3A",Wed May 29 22:05:07 +0000 2024,46118,426941,51919
2,CoinMarketCap,"Healthy competition fuels innovation, and we're excited to see major players stepping into Web3! 🚀

Keep an eye out for the highly anticipated launch of $GMRX on March 26th. 
#Web3 #GMRX #Gamefi https://t.co/XSmNtsnfUM",Wed Mar 20 13:00:41 +0000 2024,5895,464360,9137
3,O G,The Best Couples in Web3 https://t.co/0xaEGGszvr,Tue Oct 08 19:00:35 +0000 2024,14,47093,221
4,Nina 小耳朵,"虽然大熊气势汹汹
但遇见了Web3小饭局 和小伙伴们多吃两碗以后血条满了😋😋 https://t.co/8QUIz8aaIm",Sat Jun 10 11:22:16 +0000 2023,1,23998,71
5,Suhail Kakar,every single web3 website ever https://t.co/NUrlnHoctC,Tue Aug 13 10:17:13 +0000 2024,302,436850,5196
6,lidang 立党 （劝人卖房、劝人学CS计算机、劝人投美股SP500/纳斯达克100第一人）,"这种满嘴Web3 + AI的人，相当一批都是精神有问题的人，可能存在严重的妄想症。

我怀疑他们到底知不知道自己说的东西到底是什么。 https://t.co/9kNFLAGOjg",Wed Nov 15 07:58:18 +0000 2023,1,211353,54
7,Old two💜,"都在挖sui这个代币，记得一定要挖卖提，代币太多了，Mac一小时大概60RMB

链接：
https://t.co/qgMAwQN8Ne
推荐使用 #OKXWeb3 钱包
传送门：https://t.co/rGYRCvUIjC

参与步骤：
1️⃣右上角创建钱包
2️⃣复制私钥保存在OKX钱包
3️⃣充值2sui左右
4️⃣开始挖矿

如何卖
OK钱包导入私钥后在添加合约地址直接交易 https://t.co/qJEOey9eM2",Fri Oct 04 02:54:55 +0000 2024,151,607156,457
8,Web3｜龙猫,"🔥听说大A火了，KTV嫩模都是玩A股的先选，消费水平直线上升，飞机升舱，按摩质量都有明显提升

你错过了这波A股的盛宴了吗 https://t.co/iuacWzMw8i",Mon Sep 30 05:20:37 +0000 2024,0,44653,33
9,Judo.eth,"GM Web3! ❤️

Following everyone who says it back! 🤝 https://t.co/qSOn2sBX2U",Sun Oct 06 08:38:42 +0000 2024,37,26673,821
10,亚洲金融 Asia Finance,#巴厘岛，甚至东南亚，别再去混了。巴厘岛命案中的男性死者25岁，女性死者22岁，分别来自江西和广西。这两个都是币圈的。几个月前，刚有一群在巴厘岛住了四五年俄罗斯乌克兰Web3创业者们，离开巴厘岛去了欧洲。房子都不处理人先跑。创业者们在那里频遭抢劫，逼问银行和加密账号密码，然后折磨和杀害… https://t.co/ScenQNzrPd,Fri May 05 15:01:36 +0000 2023,88,657260,531
11,WILSON,"Few years ago they used to call me “that batcher kid” cus we used to stay in a one room batcher house with a leaking roof 

Fast forward to today I am now the owner of a 5bedroom duplex with BQ!

Web3 did!
Airdrop did!
God did! https://t.co/QG41P2wbli",Mon Sep 02 07:23:13 +0000 2024,4579,1901921,29184
12,滝沢ガレソ,"ノーブラでサッカー観戦した女優が激怒「みな試合ではなく私の胸の話ばかりしていてウンザリ」@スペイン
https://t.co/5QAVmSjLEY
▼主な反応
・これは試合どころじゃない
・インスタフォロワー400万人すげえ
・ただただ、感謝
・日本でもノーブラ流行らんかな
・ラ・リーガじゃなくてチ・クービじゃん https://t.co/xPfLimKSMJ",Thu Sep 28 05:09:07 +0000 2023,2208,17947009,33871
